Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
The Volcano,1,Mount Vesuvius was a (1) volcano.,sleep,slept,dormancy,dormant,doormat,D
The Volcano,2,The villagers lived (2) at its foot.,peace,peacefully,peaceful,peacemaker,piece,B
The Volcano,3,One day, smoke began to (3).,rose,risen,rising,rises,rise,E
The Volcano,4,The ground shook (4).,violent,violence,violins,violate,violently,E
The Volcano,5,Lava flowed down the (5).,sloped,sloping,slope,slopes,sloper,C
The Volcano,6,People fled in (6).,terrible,terrify,terror,terrified,terrifies,C
The Volcano,7,Ash covered the (7).,skies,skied,sky,skiing,skyscraper,C
The Volcano,8,It was a (8) disaster.,totally,totality,total,totals,totaled,C
The Volcano,9,The city was (9) buried.,complete,completion,completes,completed,completely,E
The Volcano,10,Centuries later, it was (10).,discover,discovered,discovery,discovering,discovers,B
The Volcano,11,Archaeologists dug (11).,care,careful,cared,caring,carefully,E
The Volcano,12,History was (12) revealed.,final,finality,finally,finalize,finals,C
The Rock Band,1,The band practiced in the (1).,garages,garage,garaged,garaging,garbage,B
The Rock Band,2,The drummer hit the (2) hard.,drums,drummed,drum,drumming,drummer,C
The Rock Band,3,The guitarist played a (3) solo.,long,length,lengthen,longing,longer,A
The Rock Band,4,The singer had a (4) voice.,loudly,loud,loudness,louder,loudest,B
The Rock Band,5,They wrote their own (5).,sing,sang,songs,song,sung,C
The Rock Band,6,They hoped to become (6).,fame,famously,famed,famine,famous,E
The Rock Band,7,They played a gig at a (7).,clubs,clubbed,club,clubbing,clubber,C
The Rock Band,8,The crowd cheered (8).,wild,wilderness,wildly,wilder,wildest,C
The Rock Band,9,They signed a record (9).,deal,dealt,dealing,deals,dealer,A
The Rock Band,10,Their first album was a (10).,succeed,successful,successfully,succession,success,E
The Rock Band,11,They went on a world (11).,toured,touring,tour,tours,tourist,C
The Rock Band,12,It was a dream come (12).,truth,true,truly,truthful,trust,B
Grocery Shopping,1,Mum wrote a shopping (1).,listed,listing,lists,list,lister,D
Grocery Shopping,2,We pushed the trolley down the (2).,isle,island,aisle,aisled,I'll,C
Grocery Shopping,3,We needed a loaf of (3).,bread,bred,breaded,breading,breed,A
Grocery Shopping,4,I chose some red (4).,apple,appled,appling,apples,apply,D
Grocery Shopping,5,The milk was in the (5).,fridges,refrigerate,freezer,fridge,frozen,D
Grocery Shopping,6,We weighed the (6).,potato,potatoed,potting,pot,potatoes,E
Grocery Shopping,7,Mum compared the (7).,prices,price,priced,pricing,prize,B
Grocery Shopping,8,She looked for a special (8).,offered,offering,offers,off,offer,E
Grocery Shopping,9,The trolley was getting (9).,heavily,heaviness,heavy,heavier,heave,C
Grocery Shopping,10,We went to the (10).,check,checked,checking,checkout,checks,D
Grocery Shopping,11,Mum paid with her (11).,cards,carded,card,carding,cart,C
Grocery Shopping,12,We packed the bags (12).,quick,quickness,quicken,quicker,quickly,E
The Hospital,1,I fell off the swing and broke my (1).,legs,legged,legging,leg,ledger,D
The Hospital,2,It hurt (2).,bad,baddest,badness,bade,badly,E
The Hospital,3,Dad drove me to the (3).,hospitals,hospitality,hospitalize,hostel,hospital,E
The Hospital,4,I had an X-ray to check the (4).,bones,boned,bone,boning,boney,C
The Hospital,5,The doctor said it was a (5).,fracture,fractured,fracturing,fractures,fraction,A
The Hospital,6,He put a plaster (6) on it.,casted,casting,casts,caster,cast,E
The Hospital,7,I had to use (7).,crutch,crutched,crutching,crutches,clutch,D
The Hospital,8,Walking was very (8).,difficulty,diffidence,difficult,differ,different,C
The Hospital,9,My friends signed their (9).,name,named,names,naming,namely,C
The Hospital,10,It was itchy and (10).,comfort,comfortable,comforting,uncomfortable,comfortably,D
The Hospital,11,After six weeks, it was (11).,remove,removing,removes,removed,removal,D
The Hospital,12,I was glad to walk (12).,against,age,aging,gain,again,E
The Circus,1,The circus tent was striped red and (1).,whiten,whiteness,whitely,whites,white,E
The Circus,2,The ringmaster wore a top (2).,hats,hatted,hatting,hate,hat,E
The Circus,3,The clowns wore (3) shoes.,fun,funnier,funny,funnest,funnily,C
The Circus,4,They made everyone (4).,laughed,laughing,laugh,laughs,laughter,C
The Circus,5,The acrobats swung high (5).,over,up,above,upper,ups,C
The Circus,6,They had no safety (6).,nets,netting,netted,net,netter,D
The Circus,7,It was very (7).,danger,dangerously,dangers,endanger,dangerous,E
The Circus,8,The juggler threw balls in the (8).,airy,aired,airing,heir,air,E
The Circus,9,He didn't drop a (9) one.,singled,singling,single,singles,singly,C
The Circus,10,The lion tamer was (10).,bravely,bravery,braved,brave,braver,D
The Circus,11,The audience clapped their (11).,hand,handed,handing,hands,handy,D
The Circus,12,It was a magical (12).,showed,showing,shows,shower,show,E
The Farm,1,The farmer drove a big green (1).,tractor,tractors,traction,tract,track,A
The Farm,2,He ploughed the (2).,field,fields,fielded,fielding,fielder,A
The Farm,3,The cows were grazing on the (3).,grassy,grassed,grasses,graze,grass,E
The Farm,4,The sheep had thick woolly (4).,coat,coated,coats,coating,cot,C
The Farm,5,The chickens laid fresh (5).,egg,egged,egging,eggs,edge,D
The Farm,6,We fed the pigs some (6).,scrap,scrapped,scraps,scrapping,scrape,C
The Farm,7,The dog herded the (7).,sheeps,sheepish,shepherd,sheep,ship,D
The Farm,8,It was hard work (8) a farm.,run,ran,running,runs,runner,C
The Farm,9,They got up very (9).,earlier,earliest,early,earliness,ear,C
The Farm,10,The harvest was (10).,plenty,plenteous,plentifully,plant,plentiful,E
The Farm,11,We bought vegetables at the (11).,shopped,shop,shopping,shops,shopper,B
The Farm,12,Country life is very (12).,peace,peacefully,peacemaker,piece,peaceful,E
The Aquarium,1,We walked through a glass (1).,tunneled,tunneling,tunnel,tunnels,tunneler,C
The Aquarium,2,Fish swam all (2) us.,round,rounding,rounds,around,rounded,D
The Aquarium,3,I saw a huge grey (3).,sharks,shark,sharking,shirk,sharp,B
The Aquarium,4,It had sharp, pointed (4).,tooth,teeth,teething,toothed,teethe,B
The Aquarium,5,The turtles moved (5).,slow,slowly,slowness,slower,slowest,B
The Aquarium,6,The jellyfish were (6).,transparency,transparently,transplant,parent,transparent,E
The Aquarium,7,There were colourful coral (7).,reef,reefed,reefs,reefing,wreath,C
The Aquarium,8,We watched the seals being (8).,feed,feeding,feeds,fed,feeder,D
The Aquarium,9,They clapped their (9).,flip,flipped,flipping,flippers,flips,D
The Aquarium,10,I learned about marine (10).,live,life,living,lived,lively,B
The Aquarium,11,We must protect the (11).,ocean,oceanic,oceans,oceanography,sea,C
The Aquarium,12,It was an educational (12).,visited,visiting,visits,visitor,visit,E
The Theme Park,1,We bought tickets at the (1).,enter,entry,entering,entered,entrance,E
The Theme Park,2,The rollercoaster looked (2).,terrify,terrified,terrifies,terror,terrifying,E
The Theme Park,3,We queued for an (3).,hours,hourly,hourglass,hour's,hour,E
The Theme Park,4,We strapped ourselves (4).,on,at,by,to,in,E
