Ref,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Type,
T1Q1,What is the weather like at the beginning of the passage?,Stormy,Sunny,Foggy,Snowing,Raining,Foggy,Retrieval,text_1.txt
T1Q2,What is Arthur’s 'job' described as?,Sailor,Student,Dock worker,Mudlark,Watchmaker,Mudlark,Retrieval,text_1.txt
T1Q3,What advice did Arthur’s father give him?,Stay away from water,"Keep eyes down, mouth shut",Look for gold,Run from strangers,Never sell findings,"Keep eyes down, mouth shut",Retrieval,text_1.txt
T1Q4,What object did Arthur find?,Gold coin,Scrap iron,Button,Pocket watch,Ring,Pocket watch,Retrieval,text_1.txt
T1Q5,Where did Arthur hide the object?,Under a log,In his boot,In his pocket,Behind a rock,In the river,In his pocket,Retrieval,text_1.txt
T1Q6,Closest meaning to 'obscured'?,Highlighted,Hid,Decorated,Destroyed,Lifted,Hid,Word Meaning,text_1.txt
T1Q7,Closest meaning to 'threadbare'?,Expensive,Thick,Waterproof,Worn and thin,Colourful,Worn and thin,Word Meaning,text_1.txt
T1Q8,Closest meaning to 'scanned'?,Searched closely,Glanced quickly,Ignored,Walked over,Stared blankly,Searched closely,Word Meaning,text_1.txt
T1Q9,Closest meaning to 'spiked'?,Disappeared,Hurt,Rose suddenly,Felt warm,Dripped,Rose suddenly,Word Meaning,text_1.txt
T1Q10,Closest meaning to 'loomed'?,Shouted,Appeared threateningly,Ran,Waved,Sat,Appeared threateningly,Word Meaning,text_1.txt
T1Q11,Why is the tide described as Arthur's 'clock'?,He found a clock,He works when tide is out,He wears a watch,River flows fast,He has a curfew,He works when tide is out,Inference,text_1.txt
T1Q12,Why mention other boys were asleep?,Arthur is lazy,It is midnight,Contrast his hardship,Streets are empty,Arthur hates school,Contrast his hardship,Inference,text_1.txt
T1Q13,Why did Arthur freeze at the sound of the boot?,He was cold,To hear better,Fear of being caught,Ideally his father,Stuck in mud,Fear of being caught,Inference,text_1.txt
T1Q14,Why does he think the man is dangerous?,Man is shouting,Man is in uniform,Cane looks like weapon,Man asks for time,Man is running,Cane looks like weapon,Inference,text_1.txt
T1Q15,Rich men did not walk in the mud' suggests the watch was:,Stolen or dropped in struggle,Fake,Broken,A sailor's,A gift,Stolen or dropped in struggle,Inference,text_1.txt
T1Q16,The mud sucked at his boots.' 'Sucked' is a:,Noun,Adjective,Adverb,Verb,Preposition,Verb,Word Type,text_1.txt
T1Q17,It was a tall man.' 'Tall' is a:,Adjective,Adverb,Verb,Pronoun,Noun,Adjective,Word Type,text_1.txt
T1Q18,He fell to his knees.' 'To' is a:,Conjunction,Preposition,Adjective,Noun,Verb,Preposition,Word Type,text_1.txt
